FILE	ORIGINAL_SHA256	ORIGINAL_UUID	ORIGINAL_CDHASH	ORIGINAL_LC_ID_DYLIB	ORIGINAL_LC_RPATHS	ORIGINAL_LOADS	ROOTLESS_REQUIRED	NEW_LC_ID_DYLIB	NEW_LC_RPATHS	NEW_LOADS	APPLE_LIB_LOADS_PRESERVED	PROCURSUS_LIB_LOADS_REWRITTEN	HEADER_PADDING_SUFFICIENT	LOAD_COMMAND_SIZE_CHANGE_REQUIRED	BINARY_RELAYOUT_REQUIRED	RESIGN_REQUIRED	TRUSTCACHE_REFRESH_REQUIRED	REWRITE_CLASS	TRANSFORM_MATCHES_REFERENCE_PATTERN	MINOS	SDK
usr/bin/fold	ed009d22d91f1b943160477684502208d20a77f2f2bd56eecfb007343019c444	7D5B0DE2-6D0B-3B15-BA5D-BB7CD685D666	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/fs_usage	994390d7885df219dbd8041125768eb0d6fa7ebae9f5d12f5cbc278ec5eef299	80ED0AF4-C6DA-39FA-8ADB-1D2EBC5C7F44	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/getconf	225f2fd4ba148cdb00591bf4c69aba36c3f078ef84041a52b8558e6d53926d1a	47C1B04D-A07C-3ED3-88A5-06C81399593F	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/getent	1ba57ca31d768717d26bb87067944ae1a0f7582951e40777a5f8b569c15b5c40	A0151600-F8B0-3DD2-BC9A-79A838FE9800	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/getopt	1a50b9d365bde693fc459b5e0b90a774ccac93213d3a8dad90039ac7d7660851	714EEC6C-0860-358B-9927-52E197004F5D	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/gpgv	29a952c20bb45cdc50e0f6fe3ccb6b88956f096e15c5aabf8da45e6b534709c9	A57E2A91-350A-386F-A231-77DAAAC5414F	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libz.1.dylib|/usr/lib/libbz2.1.0.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libgcrypt.20.dylib|/usr/lib/libgpg-error.0.dylib|/usr/lib/libassuan.0.dylib|/usr/lib/libnpth.0.dylib|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libz.1.dylib|/usr/lib/libbz2.1.0.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|@rpath/libgcrypt.20.dylib|@rpath/libgpg-error.0.dylib|@rpath/libassuan.0.dylib|@rpath/libnpth.0.dylib|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libz.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib|/usr/lib/libbz2.1.0.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libgcrypt.20.dylib|/usr/lib/libgpg-error.0.dylib|/usr/lib/libassuan.0.dylib|/usr/lib/libnpth.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	NO_ORACLE_STILL_HAS_ABS	minos 17.0	sdk 17.2
usr/bin/grep	46dd5ea152ec97a1055d7dda2a1273e4e36c48ec23cddd3c94fb7c0be54f9a82	30EDB41E-8263-381A-938E-70F01371E503	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libiconv.2.dylib|/usr/lib/libpcre2-8.0.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libiconv.2.dylib|@rpath/libpcre2-8.0.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libpcre2-8.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/groups	5d2e9e5be580925db8d347965d7ca160842d95e9f661583e737bc226fe275b03	8F2AF3AC-F94E-30FB-9661-75D5743731AE	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/head	fe0f1d894b311a340ce86132c836ac8f02de826200bbd8ce05a159f2605c8c70	9C410F16-517D-3E30-A8C8-76A57F7E83F0	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/hexdump	7e21369ba51153df858c77dc9b42fe5ba83ae2317d9f2211879231433bb46a55	0D61B011-A05E-3CBE-8A16-3DBB8AAFFECC	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/hostid	9dfb5bea2efc3256003c744a117fc3abe2791850b4138e4ae8f77b9941c6ea8a	2154EE07-DA6B-35EF-8D20-011D5591A359	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/hostinfo	c3296141ec72c685e5866863fbad25776539e08947d15b8abb3f468cfc165104	20026790-F014-3BD3-B52D-5DFDEDD16FE5	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/PrivateFrameworks/ktrace.framework/ktrace|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/id	175449ee88ac0bbb2d92bb4884c42de86cfb28b9f39c62b4592ed7c1669c98a5	70A5346C-D939-34E8-8615-A7C9BB17CEDB	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/infocmp	af8f125a3a3dfe69bc8ff18817000649b785012582b80d1fb4575b6d78a66068	BB72959D-EFEE-3BAE-A83B-A1E1D3EFBBE2	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libncursesw.6.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libncursesw.6.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib	/usr/lib/libncursesw.6.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/install	033a1b44a135258d50891f0c9c2e896f19fc718704decd75d9434ef675619468	696981ED-9122-36C3-A3E1-5F3BC80BE0D8	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/ipcrm	fdc44fb4e86f605db8abbd8d52aec78c77e51195001c8c7122e1d68c12ed8702	2F7042B9-F222-3A6D-ABE0-01220550D2AC	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/ipcs	44d16089e668f14a9e167e5ecf058d7020ae4d9b4ac5f789fbcb793c19eb0f44	4D75FD9B-C9D5-36E4-9259-2FCCDEFB9D17	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/join	186380d2412506c508eb4a2033b27ddc86399fb85e019258dbd9b17eb7d9ed70	47176D74-ACCD-36B4-80DD-37CBB102E476	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/jot	0c00cb47c1253b82991bc766ad9275f2f53aeb0eb446a5c3e420904225779022	EDE37745-97CF-3087-A970-25C9AB9C42AD	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/kill	a141fa44728f8be43059ea393dde96b83193b12a013d6631cc3ef06c378eba75	1EB98B7F-48E1-3802-970F-3563DA0FDA57	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/killall	17c26b39522a3f28a7d9c633a96ba0dc925b005b95d7b84e7501abde2f3d9376	A36BCEFE-3D3C-3AD0-B9CF-21E26699B768	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/lastcomm	5f4706c4408b8a29f40e1b1062064c1eda693604467389286c263b8d2b8d7b0e	3D859659-659B-3A1C-BD92-6D4F4808A506	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/latency	f4534ac7806b435b8d5969dfa5ada1381e0a81ea836337c8744dbb9902e60a18	1A7B99C3-65BE-39FE-A7E9-5FC2F41F9DC0	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libncursesw.6.dylib|/usr/lib/libutil.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|@rpath/libncursesw.6.dylib|/usr/lib/libutil.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libutil.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libncursesw.6.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/launchctl	725148260030cb2253c512bd90aa56cd711f4242a592a10214f51b8107946364	4D2274CF-A52B-3438-94A7-B72F40CAA2A9	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/ldrestart	e76b2f42874fde5868c8a4c7ea1abdaf37a59d7b0668e5e3e34817aa88097b26	FB92281F-18E6-3502-9E9A-CEC6FAF7D0FB	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/link	78b20959441d426d5c8a164423f4c8d92fce94443aede2bed805b8c2d5f746b7	9D5890D4-253A-3D9F-8004-C43099C20201	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/ln	11d76b3c9e2c8d443ee9e3e453961952efe4c17dec9a2ab00bd95d0ad0a0746e	CD348DBB-2035-340B-92A9-2CDC47D8040C	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/locate	84e37323f648e6f78dafbc2ce8096826b72677d8aa7917b5a52c58f5135827a3	196E83E4-5145-313F-A155-3974025A3FB8	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/login	892566abdbe0b3caa588b894938703bdc3bc534b71c272ea38c7ccc28979dd50	68CB6976-2351-3B73-ACE1-FA022870A699	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libpam.2.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|@rpath/libpam.2.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/usr/lib/libpam.2.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/logname	e00a82af295e6ce49ba21d9c272f77febc06605375b7c062da13825f5bd74a40	EF7AE621-092C-3312-99C6-28F438F3BE40	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
