INSTALL_NAME	APPLE_OR_BOOTSTRAP	STOCK_20L563_PRESENT	DYLD_CACHE_PRESENT	ROOTFUL_ARCHIVE_PRESENT	ROOTLESS_REFERENCE_PRESENT	TARGET_ACTION	EVIDENCE
/System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=2
/System/Library/Frameworks/Security.framework/Security	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=2
/usr/lib/liblz4.1.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=2;ORACLE_REWRITE_TO_RPATH
/usr/lib/libxxhash.0.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=2;ORACLE_REWRITE_TO_RPATH
/usr/lib/libdimentio.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=2
/usr/lib/libffi.8.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=2
/usr/lib/libp11-kit.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=2
/usr/lib/libidn2.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=2
/usr/lib/libtasn1.6.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=2
/usr/lib/libhogweed.6.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=2
/usr/lib/libcharset.1.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/System/Library/PrivateFrameworks/MobileContainerManager.framework/MobileContainerManager	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=1
/usr/lib/libxo.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=1
/usr/lib/libresolv.9.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1;ORACLE_KEPT_ABS
/usr/lib/libbrotlidec.1.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=1
/usr/lib/libbrotlienc.1.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=1
/usr/lib/libcompression.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/usr/lib/libformw.6.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=1
/usr/lib/libiosexec.1.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=1
/usr/lib/libkrw.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=1
/usr/lib/libmenuw.6.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=1
/usr/lib/libpanelw.6.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=1
/usr/libexec/sudo/sudo_intercept.so	BOOTSTRAP	NO	NO	YES	YES	REVIEW	load_count=1
/usr/libexec/sudo/sudo_noexec.so	BOOTSTRAP	NO	NO	YES	YES	REVIEW	load_count=1
/System/Library/Frameworks/CFNetwork.framework/CFNetwork	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=1
/usr/lib/swift/libswiftCore.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/usr/lib/swift/libswiftCoreFoundation.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/usr/lib/swift/libswiftDarwin.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/usr/lib/swift/libswiftDispatch.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
/usr/lib/swift/libswiftObjectiveC.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=1
